"Player","Team","REC","YDS","TDS","FL","FPTS"
"Noah Togiai","ARI","3.0","29.2","0.3","0.0","7.6"
"Jacob Hollister","LV","3.7","19.2","0.3","0.0","7.5"
"Feleipe Franks","ATL","3.1","29.0","0.2","0.0","7.3"
"Kaden Smith","WAS","3.2","29.2","0.2","0.0","7.2"
"Parker Hesse","ATL","2.1","41.8","0.1","0.0","7.0"
"Tyler Davis","GB","2.5","24.8","0.3","0.0","6.7"
"Tyler Mabry","SEA","2.8","24.5","0.2","0.0","6.6"
"Pharaoh Brown","IND","1.9","34.1","0.1","0.1","5.7"
"Matt Sokol","NE","1.7","15.6","0.3","0.0","4.8"
"Nick Vannett","HOU","2.1","19.3","0.1","0.0","4.7"
"Sean McKeon","DAL","1.0","11.4","0.3","0.0","3.8"
"Hunter Kampmoyer","LAC","0.5","3.9","0.1","0.0","1.3"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.4"
"Stephen Carlson","CHI","0.0","35.0","0.3","0.0","0.0"
"Tyree Jackson","PHI","0.0","35.0","0.3","0.0","0.0"
"Kendall Blanton","KC","0.0","79.8","0.3","0.1","0.0"
""
""
