"Player","Team","REC","YDS","TDS","RATT","RYDS","RTDS","FL","FPTS"
"Shi Smith","CAR","7.3","94.2","0.4","0.1","0.1","0.0","0.1","18.8"
"Velus Jones Jr.","CHI","4.6","77.2","0.3","1.8","33.8","0.2","0.1","18.2"
"Justin Shorter","BUF","7.3","83.0","0.3","0.2","1.1","0.0","0.1","17.5"
"Dareke Young","SEA","6.7","78.3","0.5","0.0","0.0","0.0","0.1","17.4"
"Jamison Crowder","NYG","3.4","130.4","0.1","0.1","0.9","0.0","0.1","16.9"
"Joseph Ngata","PHI","5.9","68.3","0.5","0.0","0.0","0.0","0.0","15.6"
"Tre Tucker","LV","5.7","77.4","0.3","0.2","2.3","0.0","0.0","15.3"
"Kaylon Geiger Sr.","TB","5.2","66.5","0.4","0.0","5.7","0.1","0.0","15.2"
"Byron Pringle","WAS","7.0","65.6","0.2","0.0","0.0","0.0","0.0","14.9"
"KaVontae Turpin","DAL","5.5","53.6","0.3","1.7","10.1","0.1","0.0","14.3"
"Jakeem Grant Sr.","CLE","4.8","51.5","0.2","0.0","22.7","0.1","0.0","14.2"
"Gunner Olszewski","PIT","3.7","51.2","0.2","4.5","33.9","0.1","0.1","14.1"
"Ashton Dulin","IND","4.5","67.2","0.3","0.3","5.3","0.0","0.0","13.2"
"River Cracraft","MIA","4.6","65.2","0.3","0.0","0.6","0.0","0.0","13.2"
"Erik Ezukanma","MIA","5.3","63.1","0.3","0.2","1.0","0.0","0.1","13.2"
"Rakim Jarrett","TB","4.9","57.0","0.3","0.0","1.1","0.0","0.0","12.9"
"Cody Thompson","SEA","4.2","63.8","0.3","0.0","1.9","0.0","0.0","12.5"
"Darrius Shepherd","LAC","4.2","57.2","0.3","0.0","5.0","0.0","0.0","12.4"
"Ray-Ray McCloud III","SF","3.4","41.4","0.2","3.1","25.2","0.2","0.1","12.2"
"Trinity Benson","DET","4.2","55.2","0.4","0.0","0.0","0.0","0.0","12.0"
"Kevin Austin Jr.","JAC","4.3","53.9","0.3","0.0","1.9","0.0","0.0","11.9"
"Jalen Reagor","MIN","4.0","47.6","0.2","2.5","11.1","0.1","0.1","11.6"
"Maurice Alexander","DET","3.6","48.4","0.3","0.0","0.0","0.0","0.0","10.4"
"Jalen Virgil","DEN","3.8","48.7","0.3","0.0","0.0","0.0","0.0","10.3"
"Dax Milne","WAS","4.0","46.7","0.2","0.0","2.5","0.0","0.0","10.3"
"Jason Moore Jr.","DET","3.9","50.4","0.2","0.0","0.0","0.0","0.0","10.2"
"Bo Melton","GB","3.7","44.5","0.3","0.0","2.6","0.0","0.0","10.1"
"Isaiah Coulter","BUF","3.7","44.7","0.3","0.0","0.0","0.0","0.0","10.1"
"Ronnie Bell","SF","3.4","46.3","0.2","0.0","4.5","0.0","0.0","10.1"
"Dezmon Patmon","BUF","3.7","44.2","0.3","0.0","0.0","0.0","0.0","10.1"
"Stanley Morgan Jr.","CIN","3.8","42.9","0.3","0.0","0.0","0.0","0.0","10.0"
"Easop Winston Jr.","SEA","3.7","48.2","0.2","0.0","1.9","0.0","0.0","10.0"
"Seth Williams","JAC","3.7","47.5","0.3","0.0","0.0","0.0","0.0","10.0"
"Simi Fehoko","DAL","3.6","43.1","0.3","0.0","0.0","0.0","0.0","9.9"
"Jacob Harris","JAC","3.7","46.6","0.3","0.0","0.0","0.0","0.0","9.9"
"Dennis Houston","DAL","3.5","42.8","0.3","0.0","0.0","0.0","0.0","9.8"
"Cody Chrest","GB","3.4","43.1","0.3","0.0","3.2","0.0","0.0","9.7"
"KeeSean Johnson","BUF","3.6","41.2","0.3","0.0","0.0","0.0","0.0","9.6"
"Danny Gray","SF","3.1","53.1","0.2","0.2","1.1","0.0","0.1","9.5"
"Montrell Washington","DEN","2.9","48.1","0.2","0.2","6.6","0.0","0.0","9.3"
"Andre Baccellia","ARI","3.6","46.2","0.2","0.0","0.0","0.0","0.0","9.3"
"Matthew Slater","NE","2.3","55.5","0.2","0.0","1.2","0.0","0.0","9.1"
